"gene","degree","betweenness","closeness","eigenvector","pagerank","rank_degree","rank_betweenness","rank_closeness","rank_eigenvector","rank_pagerank","hub_score","high_confidence"
"SARDH",4,0.0240385864595056,0.169208066896212,2.50953313125058e-05,0.00314379309921562,164,38,313,320,109,188.8,FALSE
"CLDN8",6,0.00577440278436956,0.157509157509158,3.45671996886539e-05,0.0041741363556708,115.5,128,323,317,66,189.9,TRUE
"DCN",4,0.000158682626138047,0.239221140472879,0.023833092233011,0.00197082585300622,164,209,197.5,186,196,190.5,TRUE
"DNAJB5",5,0,0.249818445896877,0.0534644728001597,0.00183010617990522,138,287,174.5,143,211,190.7,TRUE
"PDE4A",3,0.00616518795463131,0.202710665880966,0.00289107675396659,0.00269035774287142,198.5,103,270,249,135,191.1,TRUE
"ARC",4,0,0.26179604261796,0.0824967568538294,0.00155868552426117,164,287,151,117,237,191.2,FALSE
"EIF1",3,0.00230663680667399,0.235294117647059,0.0117508029188347,0.00189561052444539,198.5,147,203,205,206,191.9,TRUE
"MAFF",3,0,0.271079590228526,0.111994958060823,0.00124851188459632,198.5,287,112.5,90,273,192.2,TRUE
"BCL10",4,0,0.25923134890731,0.0741866816825876,0.00157331453652167,164,287,159,122,233,193,FALSE
"TLN2",3,0.000281696331211464,0.246771879483501,0.0353420801117862,0.00156466619365047,198.5,196,179,159,235,193.5,FALSE
"NFKBIE",4,0,0.258258258258258,0.0703290589354054,0.00155198010613365,164,287,162,127,239,195.8,FALSE
"TFF3",2,0.00581395348837209,0.236263736263736,0.0215040185994505,0.00171863249541796,247.5,120,201,190,221,195.9,TRUE
"CBX4",3,0.000116988075685627,0.252569750367107,0.0346403842191502,0.00154211349063113,198.5,214,171,160,240,196.7,FALSE
"PTPN1",2,0.000558208062349867,0.268960125097733,0.0509570315324359,0.00113854565019051,247.5,180,121.5,144,292,197,TRUE
"UIMC1",4,0,0.257292445774121,0.042405005210498,0.00159789972774803,164,287,164,150,229,198.8,FALSE
"KRT19",3,0.000353078940254639,0.240559440559441,0.00598750264080039,0.00198223056544345,198.5,191.5,195.5,221,193,199.9,FALSE
"KLF6",3,0,0.266873545384019,0.0841818749164824,0.00127168252164433,198.5,287,129.5,115,270,200,TRUE
"PPP1R15B",3,0.000516614465336332,0.2407277816655,0.0188907105805068,0.00157461533103603,198.5,182,193,196,231,200.1,TRUE
"KRT18",3,0.000353078940254639,0.240559440559441,0.00598750264080038,0.00198223056544293,198.5,191.5,195.5,222,194,200.3,TRUE
"TUBA1A",3,0,0.26791277258567,0.0556345797555935,0.00139830804089906,198.5,287,127,137,255,200.9,FALSE
"PAPPA",2,0.00581395348837209,0.230408573342264,0.00405707125737087,0.00200063000730242,247.5,120,216,232,190,201.1,TRUE
"S100A8",2,0.00581395348837209,0.218412698412698,0.00362654124465171,0.00203093947646182,247.5,120,233,237,186,204.7,FALSE
"PMAIP1",3,0,0.264006139677667,0.0406818506403684,0.00146637465289113,198.5,287,140,153,248,205.3,FALSE
"BTG2",3,0.000142564691900775,0.246594982078853,0.026719328701344,0.00139753248209388,198.5,210,180.5,181,257,205.4,FALSE
"SAT1",2,0.00581395348837209,0.209373097991479,0.00166661362923005,0.00255421540226907,247.5,120,251,265,144,205.5,TRUE
"ADH1B",3,0.00496273252830728,0.205495818399044,0.000851574738654508,0.00240652404210551,198.5,132,265,279,155,205.9,TRUE
