"gene","degree","betweenness","closeness","eigenvector","pagerank","rank_degree","rank_betweenness","rank_closeness","rank_eigenvector","rank_pagerank","hub_score","high_confidence"
"IL6",57,0.225896330827424,0.385650224215247,1,0.0187494878346691,1,1,1,1,1,1,TRUE
"FOS",47,0.100854485054135,0.35030549898167,0.729864704586648,0.015508381972796,2.5,3,6,4,2,3.5,FALSE
"JUN",47,0.0876746969397611,0.359081419624217,0.818460223925604,0.0147152998549369,2.5,7,3,3,3,3.7,TRUE
"IL1B",43,0.0680168536441642,0.366347177848775,0.891248258767095,0.0131744341011927,4,11,2,2,4,4.6,FALSE
"MYC",29,0.0931238319860367,0.356476683937824,0.53637127164673,0.0111361885786959,8.5,5,4,10,6,6.7,TRUE
"HSP90AA1",38,0.0931002066046927,0.343313373253493,0.524517224409402,0.0124585661534277,5,6,8,11,5,7,TRUE
"NFKBIA",29,0.0581214911171267,0.340594059405941,0.576775616555318,0.00940260341653892,8.5,13,9,6,9,9.1,FALSE
"ALB",26,0.196320451901653,0.348530901722391,0.388525066695538,0.0104776296397977,12,2,7,18,8,9.4,FALSE
"HSP90AB1",33,0.0745623117208334,0.338916256157635,0.476200509887243,0.0109624171406855,6,9,12,13,7,9.4,TRUE
"CASP3",27,0.0563944623667054,0.355739400206825,0.551347135345674,0.00883549482422193,11,14,5,7,12,9.8,FALSE
"HSPA5",28,0.062999063674124,0.329186602870813,0.378431126741388,0.00916920512560586,10,12,14,20,10,13.2,TRUE
"CCL2",30,0.0222595061190493,0.339585389930898,0.66799139454035,0.00906977279627995,7,42,10,5,11,15,FALSE
"PTGS2",22,0.0425123875707598,0.339250493096647,0.539840151815132,0.00750857929816635,17.5,20,11,9,18,15.1,FALSE
"IL10",25,0.0292671803458885,0.337917485265226,0.547878085067134,0.00811660958968122,13.5,28,13,8,13,15.1,FALSE
"H3F3B",22,0.0391942064719571,0.3260663507109,0.338323858230229,0.00802052804569048,17.5,23,15,25,14,18.9,FALSE
"HIST4H4",22,0.0549215696738749,0.313868613138686,0.26530737992374,0.0076422138356545,17.5,16,21,35,16,21.1,FALSE
"ICAM1",22,0.0205140396622301,0.318223866790009,0.481875393557345,0.00705938856798338,17.5,47,19,12,20,23.1,FALSE
"ATF3",25,0.0171801752064542,0.322701688555347,0.470164541008245,0.00785678749296122,13.5,57,17,14,15,23.3,TRUE
"TRAF6",21,0.0272621510668018,0.316758747697974,0.326777994053063,0.00750488790239983,20,33,20,26,19,23.6,TRUE
"CXCR4",19,0.0245967976382532,0.308520179372197,0.386374620048508,0.00655899403155406,22,36,24,19,22,24.6,TRUE
"EGR1",23,0.0157579661818532,0.319702602230483,0.3715015931205,0.00758784366383309,15,60,18,21,17,26.2,FALSE
"EGR2",17,0.0444731348563253,0.303083700440529,0.236055267620481,0.00600926512630247,25,18,32.5,46,26,29.5,FALSE
"CEBPB",20,0.0116880288575305,0.324834749763928,0.401954070592176,0.00640742683628762,21,73,16,17,24,30.2,FALSE
"CDKN1A",15,0.0202105976250903,0.31131221719457,0.305586315369244,0.00518811471530547,31,48,22,29,36,33.2,FALSE
"UBC",18,0.0266223402202895,0.302019315188762,0.191098988120957,0.00641542692508182,23,34,38,52,23,34,TRUE
"SQSTM1",15,0.0758970884443876,0.29553264604811,0.131189123075873,0.00656324716988503,31,8,49.5,78,21,37.5,TRUE
"AGT",13,0.0208578353483999,0.306049822064057,0.237709003509101,0.00496539541285751,45,46,26,45,40,40.4,TRUE
"CSF3",15,0.00680529826938571,0.30963096309631,0.359534912455031,0.00491146923020505,31,98,23,22,44,43.6,TRUE
"SERPINE1",15,0.010660831175478,0.301754385964912,0.282844896882515,0.00516600060216595,31,83,39,32,37,44.4,TRUE
"SOCS3",14,0.0126488383422198,0.296296296296296,0.299335961741175,0.0049556114763416,37.5,69,47,30,41,44.9,FALSE
"IRF1",14,0.0129170508326339,0.300699300699301,0.25673963696188,0.00480494310803957,37.5,67,41.5,37,47,46,FALSE
"HIST2H2BE",17,0.0131852401060646,0.295786758383491,0.142370088250938,0.00564904160617407,25,66,48,69,29,47.4,FALSE
"VCAM1",14,0.00770375364002597,0.302284710017575,0.355230765236174,0.0046712473881077,37.5,93,37,23,49,47.9,TRUE
"UBB",15,0.0111394672660563,0.299651567944251,0.165490596028872,0.00498435829581982,31,80,43,62,39,51,TRUE
"SPP1",11,0.0138518003840463,0.304424778761062,0.176006400594582,0.00460569296755308,62.5,64,29.5,58,50,52.8,FALSE
"CXCL2",16,0.00191460185426959,0.303350970017637,0.423208994675793,0.00483468465475125,27,151,31,16,45,54,FALSE
"DUSP1",12,0.00707467623626138,0.304424778761062,0.22858842917378,0.00428670176264291,53,95,29.5,48,60,57.1,TRUE
"KNG1",12,0.0210853105951444,0.295025728987993,0.0970332331980666,0.00491925084378723,53,45,52,102,43,59,FALSE
"CXCL1",15,0.001053351254224,0.302550571679859,0.424871710853793,0.00454452845216986,31,163,35.5,15,53,59.5,FALSE
"PLG",14,0.0170379295725089,0.289318755256518,0.0907837177794439,0.00536543058728857,37.5,58,63,108,34,60.1,FALSE
"DDIT3",13,0.00587749648256616,0.295278969957082,0.243024842290113,0.00429158103650206,45,108,51,44,59,61.4,FALSE
"EDN1",12,0.00649424853946733,0.292765957446809,0.25027317028802,0.004292861401435,53,101,56.5,42,58,62.1,FALSE
"REL",13,0.00393197000106459,0.303083700440529,0.265709179722253,0.00424171751294404,45,136,32.5,34,64,62.3,FALSE
"JUNB",17,0.00296211101991375,0.28595178719867,0.243979419983167,0.00544751410124273,25,143,71.5,43,32,62.9,FALSE
"EIF2AK3",11,0.0086015692934146,0.302816901408451,0.2045656625378,0.0037716028811188,62.5,90,34,51,77,62.9,TRUE
"HMGCR",11,0.0991035677605861,0.288832913518052,0.0364118730396334,0.00558796176806726,62.5,4,66,156,30,63.7,TRUE
"STIP1",14,0.0290853849934127,0.26279602750191,0.120351417385135,0.00594811794906879,37.5,29,148,87,27,65.7,TRUE
"ATF4",13,0.00267436570628408,0.300699300699301,0.269907922645481,0.00406935518930463,45,145,41.5,33,69,66.7,TRUE
"VTN",13,0.0074487697284461,0.281736281736282,0.10638900343227,0.00516066442954248,45,94,79.5,94,38,70.1,FALSE
"NFKB2",13,0.00164665227320065,0.292765957446809,0.257098751437446,0.00424418531318723,45,154,56.5,36,62,70.7,FALSE
"JUND",13,0.00172162460885568,0.291278577476715,0.252846603361372,0.00424356710551686,45,152,61,38,63,71.8,TRUE
"NR4A1",10,0.00947757028070011,0.291525423728814,0.180393801232096,0.00352354788994141,72.5,86,59.5,55,88,72.2,TRUE
"REN",8,0.0120872338664912,0.304964539007092,0.128783419600955,0.00334861030684313,85.5,71,28,80,97,72.3,FALSE
"TNFAIP3",12,0.00216168611450091,0.29706390328152,0.25066779260233,0.00382430818346204,53,149,46,41,75,72.8,TRUE
"GPX8",7,0.0155504481370293,0.308243727598566,0.176325464136823,0.00290323317163719,98.5,61,25,57,124,73.1,FALSE
"FGA",11,0.0260553642313816,0.275641025641026,0.0547311123760557,0.00541622671166826,62.5,35,97.5,139,33,73.4,TRUE
"TCP1",10,0.021478942091777,0.27236737925574,0.0997558359151689,0.00478230716337522,72.5,43,105.5,99,48,73.6,TRUE
"CCR2",13,0.000536165073975512,0.288590604026846,0.342069322985585,0.0040432399967365,45,181,67,24,71,77.6,TRUE
"THBS1",9,0.00589168283270582,0.292268479184367,0.13606133877568,0.00348027634881686,78,107,58,74,90,81.4,TRUE
"DNAJB1",15,0.00138202094669913,0.269803921568627,0.157183650730745,0.00494325800622984,31,155,116.5,63,42,81.5,TRUE
"HMOX1",10,0.000937846023679244,0.302550571679859,0.292217522312207,0.0033029592971147,72.5,166,35.5,31,103,81.6,TRUE
"AFP",6,0.0211948892285659,0.298611111111111,0.0728956477751769,0.00334273828994353,115.5,44,45,124,99,85.5,FALSE
"BIRC3",11,0.00131180862296188,0.285240464344942,0.167806648756501,0.00364716050492027,62.5,159,74,60,81,87.3,FALSE
"BCL6",7,0.0088780943866414,0.299130434782609,0.147682504249576,0.00263456223772361,98.5,88,44,67,139,87.3,FALSE
"HSPH1",14,0.000902333838662267,0.269592476489028,0.152967766221418,0.00452688321695163,37.5,168,118,65,54,88.5,TRUE
"FOSL1",12,0.000402594582474978,0.28266228430567,0.235741328281244,0.00379812068147017,53,190,77,47,76,88.6,TRUE
"ERN1",9,0.00337640003292373,0.294017094017094,0.154229936806891,0.00305976839033289,78,140,53,64,113,89.6,TRUE
"HSPB1",10,0.00121856411358453,0.293265132139812,0.17921156562985,0.0032562579816198,72.5,161,54,56,105,89.7,TRUE
"NLRP3",8,0.00208698884338292,0.30122591943958,0.221367317599029,0.00277756878467717,85.5,150,40,49,127,90.3,TRUE
"SOCS1",8,0.00541630028183455,0.291525423728814,0.139073878895752,0.0032487724416406,85.5,130,59.5,73,106,90.8,FALSE
"CXCL3",10,0.000259316066693752,0.29553264604811,0.323285937732295,0.00310839002251345,72.5,197,49.5,28,111,91.6,FALSE
"HSP90B1",12,0.000863698707218495,0.275420336269015,0.15077450155699,0.00391210512984767,53,171,99,66,73,92.4,TRUE
"HSPA6",13,0.000895480133083224,0.26938136256852,0.142243029175871,0.00427733066717027,45,170,119,70,61,93,TRUE
"HIST1H2BG",11,0.00397004848549356,0.281736281736282,0.0851060206053847,0.00364428045362574,62.5,135,79.5,113,82,94.4,FALSE
"CX3CL1",11,1.88007814353889e-05,0.286189683860233,0.32449237390593,0.00339518583546693,62.5,223,70,27,95,95.5,FALSE
"LTF",6,0.0180428105871279,0.278768233387358,0.0651600764300097,0.00347939833765179,115.5,52,88.5,132,91,95.8,TRUE
"LIF",8,0.000675241983763661,0.291032148900169,0.251883679501517,0.00270496237183281,85.5,178,62,39,133,99.5,TRUE
"RIPK2",8,0.000950608908697105,0.293015332197615,0.166972966573603,0.00268495914991025,85.5,165,55,61,136,100.5,FALSE
"GABARAPL1",6,0.0194698511626244,0.271507498026835,0.0655279454816661,0.00334269792034178,115.5,49,108,131,100,100.7,TRUE
"NPHS1",6,0.0560339744804161,0.2642089093702,0.0291028816156713,0.00418867224339532,115.5,15,138.5,174,65,101.6,FALSE
"HIST1H2BN",10,0.00330094294028676,0.281505728314239,0.0826988052304088,0.00334835729373894,72.5,142,81,116,98,101.9,FALSE
"CYP3A4",7,0.0194536248263561,0.270015698587127,0.0270203726257114,0.00416288833521015,98.5,50,115,179,67,101.9,FALSE
"AHSA1",11,0.000718326210562187,0.268960125097733,0.129131921614255,0.00383413197622352,62.5,176,121.5,79,74,102.6,TRUE
"DNAJA1",11,0.000412608824734472,0.271079590228526,0.135200129265208,0.00374230495504534,62.5,188,112.5,76,78,103.4,TRUE
"FOSL2",10,0.000404585798159645,0.273449920508744,0.189504472561601,0.00332816624989727,72.5,189,102.5,53,101,103.6,TRUE
"MCL1",7,0.00237132691184028,0.288107202680067,0.128249919790658,0.00274810282948833,98.5,146,68,81,129,104.5,TRUE
"DNAJB4",11,0.000499857416210465,0.268960125097733,0.13276669243576,0.00365376836084122,62.5,183,121.5,77,80,104.8,FALSE
"NFKBIZ",8,0.000485165228333031,0.289075630252101,0.1679598070966,0.00269888429688067,85.5,184,64.5,59,134,105.4,FALSE
"EIF4A3",7,0.0385665680754341,0.246065808297568,0.020609161428248,0.00578777400756822,98.5,25,184,194,28,105.9,FALSE
"HIST1H4H",12,0.00072833359137513,0.268960125097733,0.0903125570009589,0.00396300527637055,53,175,121.5,109,72,106.1,FALSE
"BCL3",7,0.000188675621786905,0.30550621669627,0.25185301971774,0.00235184463647562,98.5,205,27,40,162,106.5,FALSE
"PPP1R15A",8,0.00229171047473266,0.275641025641026,0.124151543449658,0.00292989207466965,85.5,148,97.5,83,122,107.2,TRUE
"SELE",7,0.00119172016629804,0.2833607907743,0.210453255244216,0.00242810112828331,98.5,162,76,50,152,107.7,TRUE
"IFIT3",6,0.00817297838552883,0.285477178423236,0.0741542819839765,0.00256120448981843,115.5,91,73,123,143,109.1,FALSE
"IL13RA2",4,0.0432115097471363,0.28595178719867,0.106339698316684,0.00194480001278032,164,19,71.5,95,199,109.7,FALSE
"MME",7,0.0134061105989669,0.263198163733741,0.0355803103100504,0.0035277679722097,98.5,65,143,158,87,110.3,FALSE
"GADD45A",8,0.00675523861716065,0.260606060606061,0.0725812662921581,0.00338453579198643,85.5,99,155,126,96,112.3,TRUE
"HIST1H2AE",11,0.000459861732107484,0.26875,0.0866699452302939,0.00360638489112242,62.5,185.5,124.5,110,83,113.1,FALSE
"HIST1H2BC",11,0.000459861732107484,0.26875,0.0866699452302939,0.00360638489111805,62.5,185.5,124.5,111,84,113.5,FALSE
"CD69",5,0.00586277684966395,0.28219852337982,0.112780714000087,0.00239546234128814,138,109,78,89,157,114.2,FALSE
"PLAUR",6,0.00554354735851545,0.286905754795663,0.085049593052315,0.00249686757796633,115.5,129,69,114,146,114.7,TRUE
"EPHA2",7,0.0681656383483626,0.226315789473684,0.00915150645882537,0.00556819910474461,98.5,10,228,209,31,115.3,FALSE
"MLKL",5,0.0108502136986394,0.278092158447858,0.0987151104637635,0.00226816056900745,138,82,91.5,100,169,116.1,FALSE
"EGR3",8,0.000228213462903103,0.273449920508744,0.141496528266982,0.00273539918477482,85.5,202,102.5,71,130,118.2,TRUE
"CYP2J2",5,0.018836032748786,0.264615384615385,0.0432528912718575,0.00274998318873567,138,51,136,149,128,120.4,FALSE
"DNAJA4",9,0.000238350306266177,0.268540202966432,0.123167994942478,0.00304146376610727,78,201,126,84,115,120.8,TRUE
"HMGCS1",8,0.0282707669730436,0.232589587559162,0.00330339123586077,0.0043517951033153,85.5,32,210,240,57,124.9,FALSE
"WEE1",4,0.0287307614075531,0.265227447956823,0.0727055934869152,0.00222175714294686,164,31,134,125,176,126,TRUE
"APOC3",5,0.0150807520132893,0.262595419847328,0.0252304073100325,0.00332100131742304,138,62,149,183,102,126.8,FALSE
"HRG",7,0.000852591120759907,0.27236737925574,0.0496591640042424,0.00296282230672512,98.5,172,105.5,145,120,128.2,FALSE
"ZC3H12A",6,4.13246860039863e-05,0.289075630252101,0.183356718694322,0.00209319621544535,115.5,222,64.5,54,185,128.2,TRUE
"CREB5",7,9.97113114503823e-05,0.273232724384432,0.143764053110611,0.00239721369916339,98.5,216,104,68,156,128.5,TRUE
"TRIB1",5,0.0102068544537856,0.26360153256705,0.0942947081558508,0.00221834902864952,138,84,141,104,177,128.8,TRUE
"MAP3K14",6,0.000807288094427301,0.278092158447858,0.107010990868461,0.00222239270665289,115.5,174,91.5,93,175,129.8,TRUE
"SRF",6,0.00360012170323125,0.261398176291793,0.0951486362112323,0.0026049637035026,115.5,139,152,103,140,129.9,TRUE
"GADD45B",6,0.000954180059014587,0.269803921568627,0.107513476645327,0.00229449033914116,115.5,164,116.5,92,168,131.2,FALSE
"MSN",5,0.0116194318258865,0.242937853107345,0.0487072825555257,0.00305709660198164,138,74,188.5,146,114,132.1,TRUE
"HIST1H2AC",10,0.00024398297014432,0.258452291510143,0.0688849918070546,0.00329509313283219,72.5,200,161,129,104,133.3,FALSE
"ETS2",4,0.00593537950607726,0.271293375394322,0.0914689637199307,0.00209914001756313,164,106,109.5,107,184,134.1,TRUE
"TNFRSF10B",5,0.00585763822291482,0.266047950502707,0.0536135155894774,0.00246905515754942,138,110,132,142,150,134.4,TRUE
"KRT8",5,0.00929200903556094,0.259818731117825,0.0290298417262057,0.00301330218899418,138,87,157,175,117,134.8,TRUE
"BMP2",4,0.0116109566750288,0.261001517450683,0.0315168195230547,0.0029312648017771,164,75.5,153.5,165,121,135.8,TRUE
"ODC1",3,0.0173740592582548,0.2642089093702,0.0299449707403936,0.00291937857215397,198.5,54,138.5,168,123,136.4,TRUE
"ZFP36",6,5.32382154318412e-05,0.27172195892575,0.139463068506655,0.00214129276932584,115.5,220,107,72,181,139.1,TRUE
"MVK",6,0.0387129001063037,0.233062330623306,0.0029170770598401,0.00322179184548488,115.5,24,207,247,107,140.1,FALSE
"TSC22D3",4,0.00805010317077151,0.261001517450683,0.0538035207198422,0.00237302435720646,164,92,153.5,141,158,141.7,FALSE
"CHDH",4,0.0516110541160656,0.235455167693361,0.00755843301895805,0.00297595604445021,164,17,202,212,118,142.6,FALSE
"KLF4",5,0.000300281090499105,0.277195809830782,0.111813684135457,0.00197041329102004,138,194,95,91,197,143,FALSE
"WT1",6,0.0125259036393439,0.211822660098522,0.00194534615021458,0.00519951960496952,115.5,70,245,255,35,144.1,FALSE
"DNAJB11",6,0.000321163292242089,0.267496111975117,0.0758893347141556,0.00231990967731794,115.5,193,128,118,166,144.1,TRUE
"KDM6B",5,0.000111994721442262,0.280130293159609,0.127299634988105,0.00186898458101396,138,215,85.5,82,207,145.5,TRUE
"HSD17B7",8,0.00381319489567427,0.232432432432432,0.00471344362649513,0.00410162245821407,85.5,137,211.5,228,68,146,TRUE
"SFN",4,0.00170486211280004,0.277867528271405,0.0932014313155777,0.001802500432516,164,153,93,105,215,146,TRUE
"BRD2",5,0.000897937410976568,0.271079590228526,0.0692935448836137,0.00210975331094199,138,169,112.5,128,183,146.1,FALSE
"GJA5",3,0.0116109566750288,0.255003706449222,0.0322003892883628,0.00279647573999567,198.5,75.5,169,163,126,146.4,FALSE
"IRF8",5,0.000425679203622925,0.271293375394322,0.0999741599861167,0.00190009247404502,138,187,109.5,98,205,147.5,FALSE
"ESPL1",4,0.0231371618414808,0.21078431372549,0.00407167947072962,0.00438558881708808,164,40,248,231,55,147.6,FALSE
"GBP1",6,0.00332137363555259,0.255382331106162,0.0284827734461885,0.00264206847290512,115.5,141,167.5,176,138,147.6,TRUE
