"GS","SIZE","ES","NES","NOM_pval","FDR_qval","Tag_pct","Edge_pct","Signal"
"KEGG_MEDICUS_PATHOGEN_HTLV_1_TAX_TO_SRF_MEDIATED_TRANSCRIPTION",5,0.74234,1.577,0.013,0.0624,0.8,0.171,0.664
"KEGG_MEDICUS_REFERENCE_MEVALONATE_PATHWAY",1,0.98963,1.3113,0.008,0.0624,1,0.0106,0.99
"KEGG_MEDICUS_ENV_FACTOR_NNK_NNN_TO_RAS_ERK_SIGNALING_PATHWAY",1,0.97797,1.2958,0.024,0.0624,1,0.0222,0.978
"KEGG_MEDICUS_REFERENCE_IL1_IL1R_JNK_SIGNALING_PATHWAY",1,0.97797,1.2958,0.024,0.0624,1,0.0222,0.978
"KEGG_MEDICUS_REFERENCE_TLR2_4_MAPK_SIGNALING_PATHWAY",1,0.97797,1.2958,0.024,0.0624,1,0.0222,0.978
"KEGG_MEDICUS_REFERENCE_IL6_FAMILY_TO_JAK_STAT_SIGNALING_PATHWAY",1,0.81577,1.0886,0.188,0.256454545454545,1,0.184,0.816
"KEGG_MEDICUS_REFERENCE_WNT5A_ROR_SIGNALING_PATHWAY",1,0.7933,1.0488,0.217,0.256454545454545,1,0.207,0.793
"KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_PATHWAY",1,0.7933,1.0488,0.217,0.256454545454545,1,0.207,0.793
"KEGG_MEDICUS_VARIANT_LRP6_OVEREXPRESSION_TO_WNT_SIGNALING_PATHWAY",1,0.7933,1.0488,0.217,0.256454545454545,1,0.207,0.793
