gene,rank,weighted_lfc,direction_consistency
DNAJB1,1,3.21282300531483,1
HSP90AA1,2,1.33703998023567,1
NR4A2,4,2.6722810617062,1
ALAS1,11,0.565896803633558,1
SERPINE1,12,2.32155970250238,1
TAF1D,13,0.518825793526564,1
SAT1,15,0.451510262496563,1
CXCR4,17,0.40988914260047,1
DCUN1D3,18,0.789123644360788,1
TUBA1C,24,0.626323284639738,1
NCOA7,25,1.2857261022975,1
RND1,28,2.21326482390957,1
HMOX1,29,1.33464587619941,1
TIPARP,33,1.23210844094893,1
RHOB,34,1.95766801909402,1
KRT8,37,0.887067863683146,1
ADAMTS9,38,0.487375363897564,1
RHPN2,39,0.804066848860141,1
HSP90AB1,40,0.945696195140164,1
YOD1,42,0.585246896518934,1
SGK1,45,0.823627533016057,1
CRYAB,46,1.37182482980045,1
PPP1R15B,48,1.19901927980841,1
NR4A1,51,2.9700161185438,1
ANKRD37,53,2.44550927430126,1
ZNF165,57,1.72470841200915,1
NRBF2,58,0.423987609279077,1
ERN1,60,0.474501836058567,1
DEDD2,61,0.806475334324934,1
PTPN1,63,1.04021383568124,1
BMP2,64,0.443143360617516,1
ATF3,66,4.70979665035753,1
CLDN8,67,-0.624083304597973,1
CSF3,68,2.97138832116733,1
UBB,69,0.482705468386063,1
HSPH1,72,1.99294069629261,1
UPP1,73,1.11977702852561,1
DYRK3,74,0.587760249015138,1
ITPRIP,75,0.988030840031875,1
HKDC1,76,0.744973083031772,1
RIPK4,79,1.34170227577826,1
LBP,81,1.49460669171122,1
NDN,89,-0.413747473094982,1
CHORDC1,91,0.917209975454238,1
IL32,92,1.02458090583923,1
AGT,94,1.1124358591113,1
ZNF460,95,0.812295891522714,1
LIF,96,1.30710968944853,1
JUND,97,1.90499012421882,1
NR0B2,98,1.53890635148784,1
KDM6B,99,0.591704637495241,1
EIF4A1,100,0.849171809901388,1
PPRC1,102,0.523182513054171,1
LMNA,104,0.720712225287493,1
FOSL1,106,2.11321318303969,1
CREB5,107,0.952744981321141,1
FGA,108,1.83353803711691,1
HBEGF,109,2.53728095726144,1
PTP4A1,111,0.679047247756125,1
MAP3K14,113,0.822811622149696,1
LPCAT3,114,0.420267928705032,1
GABARAPL1,116,0.651321683396984,1
CACYBP,119,0.527322417428484,1
NEBL,123,-0.421660080393116,1
LEAP2,125,1.11768712168189,1
RASSF4,131,0.743287065488395,1
KLF6,133,2.22227749239986,1
MXD1,142,1.4660959237372,1
PNRC1,143,0.74822191113253,1
NOP58,146,0.444072868451809,1
DUSP1,147,3.20365330389964,1
TCP1,148,0.43302840190155,1
ARL5B,149,1.13573061748654,1
DNAJB11,150,0.692105483275227,1
TNFAIP3,161,1.79631030949705,1
NDEL1,163,0.504467956001106,1
ZFP36,168,3.62207817746268,1
SELE,169,2.45326161179431,1
DNAJB5,171,0.495186863087885,1
ZNF622,174,0.379647314693164,1
MRPL18,178,0.605071748816237,1
NR1H4,179,0.590521275645562,1
STX3,191,0.4545320984934,1
DUSP5,193,2.42475629935201,1
C5AR1,196,0.498596538704031,1
AHSA1,198,0.536681084171679,1
