gene,rank,weighted_lfc,direction_consistency
DNAJB1,1,3.21282300531483,1
HSP90AA1,2,1.33703998023567,1
JUNB,3,2.54999591560741,0.666666666666667
NR4A2,4,2.6722810617062,1
NUAK2,5,1.38881692107067,0.666666666666667
IER2,6,3.00455523329442,0.666666666666667
DUSP6,7,1.25831229917063,0.666666666666667
GADD45G,8,1.27013541976798,0.666666666666667
HBA2,9,2.88069201160492,0.666666666666667
HBB,10,2.89851113738374,0.666666666666667
ALAS1,11,0.565896803633558,1
SERPINE1,12,2.32155970250238,1
TAF1D,13,0.518825793526564,1
SOCS3,14,2.20526254153898,0.666666666666667
SAT1,15,0.451510262496563,1
RASD1,16,1.33863866591495,0.666666666666667
CXCR4,17,0.40988914260047,1
DCUN1D3,18,0.789123644360788,1
CEBPB,19,1.3315410810547,0.666666666666667
IRF1,20,2.14017352697258,0.666666666666667
USPL1,21,0.615359940244164,0.666666666666667
SOCS1,22,0.705691571379808,0.666666666666667
RND3,23,1.37206020002825,0.666666666666667
TUBA1C,24,0.626323284639738,1
NCOA7,25,1.2857261022975,1
MIS12,26,0.504819679480219,0.666666666666667
CLDN14,27,1.53974003383612,0.666666666666667
RND1,28,2.21326482390957,1
HMOX1,29,1.33464587619941,1
CXCL3,30,4.29058202466043,0.666666666666667
ARL4A,31,0.865309473427849,0.666666666666667
ARL4D,32,0.53475770161133,0.666666666666667
TIPARP,33,1.23210844094893,1
RHOB,34,1.95766801909402,1
ZNF669,35,0.596993481166303,0.666666666666667
MAP3K8,36,1.07746856096672,0.666666666666667
KRT8,37,0.887067863683146,1
ADAMTS9,38,0.487375363897564,1
RHPN2,39,0.804066848860141,1
HSP90AB1,40,0.945696195140164,1
CLDN3,41,0.778714789219645,0.666666666666667
YOD1,42,0.585246896518934,1
ATL3,43,0.403906501105687,0.666666666666667
PMAIP1,44,2.22562618442604,0.666666666666667
SGK1,45,0.823627533016057,1
CRYAB,46,1.37182482980045,1
BCL6,47,1.1813772284605,0.666666666666667
PPP1R15B,48,1.19901927980841,1
FCN3,49,1.03845299212731,0.666666666666667
SNHG1,50,0.932676643886391,0.666666666666667
NR4A1,51,2.9700161185438,1
ZNF844,52,0.171573790623291,0.666666666666667
ANKRD37,53,2.44550927430126,1
TRA2A,54,0.510657108801121,0.666666666666667
CH25H,55,2.44942527476994,0.666666666666667
CITED2,56,1.0279454117796,0.666666666666667
ZNF165,57,1.72470841200915,1
NRBF2,58,0.423987609279077,1
HES1,59,0.983351335012503,0.666666666666667
ERN1,60,0.474501836058567,1
DEDD2,61,0.806475334324934,1
RIPK2,62,0.504545673958556,0.666666666666667
PTPN1,63,1.04021383568124,1
BMP2,64,0.443143360617516,1
TSC22D1,65,0.957139726324605,0.666666666666667
ATF3,66,4.70979665035753,1
CLDN8,67,-0.624083304597973,1
CSF3,68,2.97138832116733,1
UBB,69,0.482705468386063,1
IQCC,70,0.520839004561219,0.666666666666667
CASP3,71,0.537915356053364,0.666666666666667
HSPH1,72,1.99294069629261,1
UPP1,73,1.11977702852561,1
DYRK3,74,0.587760249015138,1
