"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Module"
"R-HSA-3322077","Glycogen synthesis","2/43","14/11146",0.142857142857143,37.0299003322259,8.39449498623657,0.00128463209349239,0.0402434827027324,0.0332114636199392,"PPP1R3C/UBC",2,4
"R-HSA-2559580","Oxidative Stress Induced Senescence","4/43","124/11146",0.032258064516129,8.3615903975994,5.12987027756375,0.00128779144648744,0.0402434827027324,0.0332114636199392,"CBX4/FOS/JUN/UBC",4,4
"R-HSA-9648895","Response of EIF2AK1 (HRI) to heme deficiency","2/43","15/11146",0.133333333333333,34.5612403100775,8.09413856629391,0.00147864271638428,0.0421436394148731,0.0347795929486952,"ATF3/DDIT3",2,4
"R-HSA-8939211","ESR-mediated signaling","5/43","222/11146",0.0225225225225225,5.83804734967526,4.53116472006323,0.00155717299642122,0.0421436394148731,0.0347795929486952,"FOS/HBEGF/JUN/JUND/SRF",5,4
"R-HSA-8943724","Regulation of PTEN gene transcription","3/43","61/11146",0.0491803278688525,12.7479984750286,5.7255214302963,0.00164721976441898,0.0421436394148731,0.0347795929486952,"CBX4/EGR1/JUN",3,4
"R-HSA-3229121","Glycogen storage diseases","2/43","16/11146",0.125,32.4011627906977,7.82189954004625,0.00168574557659492,0.0421436394148731,0.0347795929486952,"PPP1R3C/UBC",2,4
"R-HSA-450294","MAP kinase activation","3/43","64/11146",0.046875,12.1504360465116,5.56707227374807,0.00189165379261309,0.0433145800161365,0.0357459270870011,"FOS/JUN/UBC",3,4
"R-HSA-6788467","IL-6-type cytokine receptor ligand interactions","2/43","17/11146",0.117647058823529,30.4952120383037,7.57359376181954,0.00190584152071001,0.0433145800161365,0.0357459270870011,"CLCF1/LIF",2,4
"R-HSA-6807070","PTEN Regulation","4/43","140/11146",0.0285714285714286,7.40598006644518,4.74666892081229,0.00201257891770127,0.0437517156022016,0.0361066789811853,"CBX4/EGR1/JUN/UBC",4,4
"R-HSA-420029","Tight junction interactions","4/44","29/11146",0.137931034482759,34.9404388714734,11.5209532143581,4.66856871452853e-06,0.00112512506020138,0.000928799460048308,"CLDN11/CLDN19/CLDN7/CLDN8",4,5
"R-HSA-191273","Cholesterol biosynthesis","3/44","27/11146",0.111111111111111,28.1464646464646,8.89053832509055,0.000157141479532026,0.0189355482836091,0.0156314419113436,"HMGCR/HMGCS1/SQLE",3,5
"R-HSA-1500931","Cell-Cell communication","5/44","153/11146",0.0326797385620915,8.27837195484254,5.70673374737474,0.000321946004838889,0.0233165141252176,0.0192479631782753,"CLDN11/CLDN19/CLDN7/CLDN8/NPHS2",5,5
"R-HSA-421270","Cell-cell junction organization","4/44","88/11146",0.0454545454545455,11.5144628099174,6.23384350712729,0.000386996085065853,0.0233165141252176,0.0192479631782753,"CLDN11/CLDN19/CLDN7/CLDN8",4,5
"R-HSA-2426168","Activation of gene expression by SREBF (SREBP)","3/44","42/11146",0.0714285714285714,18.0941558441558,6.98712223190317,0.000591792432894271,0.0285243952655038,0.0235471094351615,"HMGCR/HMGCS1/SQLE",3,5
"R-HSA-446728","Cell junction organization","4/44","115/11146",0.0347826086956522,8.81106719367589,5.30050947064144,0.00106200566088184,0.0426572273787541,0.0352138719134506,"CLDN11/CLDN19/CLDN7/CLDN8",4,5
"R-HSA-1655829","Regulation of cholesterol biosynthesis by SREBP (SREBF)","3/44","55/11146",0.0545454545454545,13.8173553719008,5.99874196069824,0.0013049349202877,0.0449270451127621,0.0370876240502819,"HMGCR/HMGCS1/SQLE",3,5
"R-HSA-2162123","Synthesis of Prostaglandins (PG) and Thromboxanes (TX)","2/44","15/11146",0.133333333333333,33.7757575757576,7.99644657493812,0.00154785109661198,0.046629014285436,0.0384926127973244,"PTGIS/PTGS2",2,5
"R-HSA-9757110","Prednisone ADME","2/21","10/11146",0.2,106.152380952381,14.4528725724976,0.000150769123316234,0.0131169137285124,0.00999837344097132,"CYP3A4/UGT2B7",2,6
"R-HSA-140875","Common Pathway of Fibrin Clot Formation","2/19","22/11146",0.0909090909090909,53.3301435406699,10.1522094518787,0.000623169352699131,0.0395712538963948,0.024270806368282,"FGA/SERPINE2",2,11
"R-HSA-5686938","Regulation of TLR by endogenous ligand","2/19","22/11146",0.0909090909090909,53.3301435406699,10.1522094518787,0.000623169352699131,0.0395712538963948,0.024270806368282,"FGA/LBP",2,11
"R-HSA-354192","Integrin signaling","2/19","27/11146",0.0740740740740741,43.4541910331384,9.12635545220643,0.000942094961248436,0.0398820200261838,0.0244614130289068,"FGA/PTPN1",2,11
"R-HSA-140877","Formation of Fibrin Clot (Clotting Cascade)","2/19","39/11146",0.0512820512820513,30.0836707152497,7.51814901293639,0.00196477509390582,0.0499052873852077,0.0306091277787432,"FGA/SERPINE2",2,11
