"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Module"
"R-HSA-168927","TICAM1, RIP1-mediated IKK complex recruitment","3/131","20/11146",0.15,12.7625954198473,5.74158849559428,0.00156261063500116,0.0346274516716258,0.0277651237040206,"BIRC3/TICAM1/TRAF6",3,1
"R-HSA-168181","Toll Like Receptor 7/8 (TLR7/8) Cascade","6/131","108/11146",0.0555555555555556,4.72688719253605,4.24420510945581,0.00168970092464123,0.0357135836917752,0.0286360104843799,"JUN/NFKB2/NFKBIA/RIPK2/TICAM1/TRAF6",6,1
"R-HSA-1606322","ZBP1(DAI) mediated induction of type I IFNs","3/131","21/11146",0.142857142857143,12.154852780807,5.57964944217855,0.00180747808245158,0.0357135836917752,0.0286360104843799,"NFKB2/NFKBIA/TICAM1",3,1
"R-HSA-445989","TAK1-dependent IKK and NF-kappa-B activation","4/131","45/11146",0.0888888888888889,7.56301950805768,4.81074496752395,0.00187017401088054,0.0357135836917752,0.0286360104843799,"NFKB2/NFKBIA/RIPK2/TRAF6",4,1
"R-HSA-168138","Toll Like Receptor 9 (TLR9) Cascade","6/131","111/11146",0.0540540540540541,4.59913348462967,4.15581980282875,0.00194309091955892,0.0357135836917752,0.0286360104843799,"JUN/NFKB2/NFKBIA/RIPK2/TICAM1/TRAF6",6,1
"R-HSA-909733","Interferon alpha/beta signaling","5/131","77/11146",0.0649350649350649,5.52493308218499,4.34496981097599,0.00208674386511235,0.0357135836917752,0.0286360104843799,"EGR1/IRF1/IRF8/SOCS1/SOCS3",5,1
"R-HSA-2559583","Cellular Senescence","8/131","195/11146",0.041025641025641,3.49062438833431,3.8263270333965,0.002101561824616,0.0357135836917752,0.0286360104843799,"CBX4/CDKN1A/CEBPB/ERF/ETS2/IL6/JUN/KDM6B",8,1
"R-HSA-166058","MyD88:MAL(TIRAP) cascade initiated on plasma membrane","6/131","113/11146",0.0530973451327434,4.51773289198136,4.09862991668325,0.00212734343290357,0.0357135836917752,0.0286360104843799,"JUN/NFKB2/NFKBIA/RIPK2/SOCS1/TRAF6",6,1
"R-HSA-168188","Toll Like Receptor TLR6:TLR2 Cascade","6/131","113/11146",0.0530973451327434,4.51773289198136,4.09862991668325,0.00212734343290357,0.0357135836917752,0.0286360104843799,"JUN/NFKB2/NFKBIA/RIPK2/SOCS1/TRAF6",6,1
"R-HSA-73887","Death Receptor Signaling","7/131","154/11146",0.0454545454545455,3.86745315752949,3.90752500727742,0.00224178232028445,0.0365278648658113,0.029288920717029,"BIRC3/CASP3/NFKBIA/RIPK2/TNFAIP3/TNFRSF10B/TRAF6",7,1
